Ground trutch;Predicted labels
[84, 11, 7, 88, 10, 26, 84, 2, 84, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 89, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[79, 5, 6, 7, 56, 2, 30, 10, 11, 7, 103, 10, 25, 6, 7, 56, 10, 84, 11, 7, 56, 10, 24, 84, 2, 5, 6, 7, 56, 2, 9, 10, 11, 7, 103, 10, 19, 7, 25, 6, 7, 56, 14, 9, 10, 10, 7, 56, 10, 31, 11, 7, 56, 10, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 83, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 109, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[52, 4, 81, 16, 2, 19, 7, 52, 4, 30, 16, 10, 7, 9, 14, 81, 52, 4, 30, 16, 10, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 82, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 109, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[84, 2, 32, 7, 23, 10, 4, 32, 7, 15, 10, 26, 8, 16, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 78, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 109, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[19, 7, 47, 7, 49, 8, 12, 10, 4, 50, 16, 10, 7, 50, 10, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 84, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[19, 9, 7, 32, 15, 10, 26, 19, 9, 7, 32, 15, 10, 8, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 91, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[19, 7, 9, 27, 112, 89, 10, 7, 15, 22, 112, 89, 10, 2, 19, 7, 23, 10, 7, 22, 10, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 87, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[17, 79, 6, 7, 30, 10, 11, 7, 9, 10, 31, 24, 31, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 89, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[88, 31, 11, 7, 15, 10, 26, 15, 31, 26, 23, 31, 26, 88, 26, 28, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 90, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 4, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
[79, 50, 31, 11, 7, 12, 10, 24, 31, 2, 50, 79, 31, 11, 7, 12, 10, 24, 31, 143, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144];[1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 2, 1, 1, 1, 1, 1, 1, 109, 1, 1, 1, 1, 109, 1, 1, 1, 1, 4, 1, 1, 1, 85, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 107, 109, 1, 1, 2, 1, 1, 1, 1, 1, 109, 1, 1, 1, 8, 1, 1, 1, 10, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 109, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109]
